2024-10-11 16:31:55,792 - INFO - Experiment Setup: Episodes: 1000, Task: 1, Window: 75
2024-10-11 16:31:55,792 - INFO - Algorithm Hyperparameters: {'epsilon': 0.1, 'alpha': 0.1, 'gamma': 0.9}
2024-10-11 16:31:55,792 - INFO - Show Render: False, Sim Speed: 0.001, Render Every Nth: 10000
2024-10-11 16:31:55,824 - INFO - Init Maze with agent at [1, 6] and goal at [8, 1], showRender=False
2024-10-11 16:31:55,824 - INFO - Init new SARSA Algorithm: eps=0.1 alpha=0.1 gamma=0.9
2024-10-11 16:31:56,035 - INFO - (SARSA) Ep 0 Length=144 Summed Reward=-16.2, pitfall=0.0, wallbumps=14.0
2024-10-11 16:31:56,241 - INFO - (SARSA) Ep 1 Length=46 Summed Reward=-16.0, pitfall=1.0, wallbumps=7.0
2024-10-11 16:31:56,446 - INFO - (SARSA) Ep 2 Length=64 Summed Reward=-16.4, pitfall=1.0, wallbumps=0.0
2024-10-11 16:31:56,649 - INFO - (SARSA) Ep 3 Length=30 Summed Reward=-13.0, pitfall=1.0, wallbumps=0.0
2024-10-11 16:31:56,855 - INFO - (SARSA) Ep 4 Length=89 Summed Reward=-19.3, pitfall=1.0, wallbumps=2.0
2024-10-11 16:31:57,071 - INFO - (SARSA) Ep 5 Length=305 Summed Reward=-41.3, pitfall=1.0, wallbumps=4.0
2024-10-11 16:31:57,290 - INFO - (SARSA) Ep 6 Length=383 Summed Reward=-37.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:31:57,495 - INFO - (SARSA) Ep 7 Length=78 Summed Reward=-7.4, pitfall=0.0, wallbumps=3.0
2024-10-11 16:31:57,714 - INFO - (SARSA) Ep 8 Length=387 Summed Reward=-48.7, pitfall=1.0, wallbumps=0.0
2024-10-11 16:31:57,941 - INFO - (SARSA) Ep 9 Length=503 Summed Reward=-50.7, pitfall=0.0, wallbumps=7.0
2024-10-11 16:31:58,149 - INFO - (SARSA) Ep 10 Length=103 Summed Reward=-10.7, pitfall=0.0, wallbumps=7.0
2024-10-11 16:31:58,361 - INFO - (SARSA) Ep 11 Length=190 Summed Reward=-18.6, pitfall=0.0, wallbumps=3.0
2024-10-11 16:31:58,591 - INFO - (SARSA) Ep 12 Length=607 Summed Reward=-61.3, pitfall=0.0, wallbumps=8.0
2024-10-11 16:31:58,799 - INFO - (SARSA) Ep 13 Length=88 Summed Reward=-8.2, pitfall=0.0, wallbumps=2.0
2024-10-11 16:31:59,004 - INFO - (SARSA) Ep 14 Length=61 Summed Reward=-5.3, pitfall=0.0, wallbumps=1.0
2024-10-11 16:31:59,223 - INFO - (SARSA) Ep 15 Length=289 Summed Reward=-29.7, pitfall=0.0, wallbumps=9.0
2024-10-11 16:31:59,438 - INFO - (SARSA) Ep 16 Length=237 Summed Reward=-23.3, pitfall=0.0, wallbumps=3.0
2024-10-11 16:31:59,649 - INFO - (SARSA) Ep 17 Length=169 Summed Reward=-15.9, pitfall=0.0, wallbumps=0.0
2024-10-11 16:31:59,858 - INFO - (SARSA) Ep 18 Length=127 Summed Reward=-11.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:00,069 - INFO - (SARSA) Ep 19 Length=160 Summed Reward=-15.0, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:00,289 - INFO - (SARSA) Ep 20 Length=337 Summed Reward=-32.9, pitfall=0.0, wallbumps=1.0
2024-10-11 16:32:00,494 - INFO - (SARSA) Ep 21 Length=67 Summed Reward=-5.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:00,700 - INFO - (SARSA) Ep 22 Length=80 Summed Reward=-7.0, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:00,909 - INFO - (SARSA) Ep 23 Length=139 Summed Reward=-14.3, pitfall=0.0, wallbumps=7.0
2024-10-11 16:32:01,121 - INFO - (SARSA) Ep 24 Length=201 Summed Reward=-19.9, pitfall=0.0, wallbumps=4.0
2024-10-11 16:32:01,332 - INFO - (SARSA) Ep 25 Length=166 Summed Reward=-17.2, pitfall=0.0, wallbumps=8.0
2024-10-11 16:32:01,541 - INFO - (SARSA) Ep 26 Length=122 Summed Reward=-11.6, pitfall=0.0, wallbumps=2.0
2024-10-11 16:32:01,747 - INFO - (SARSA) Ep 27 Length=71 Summed Reward=-6.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:01,953 - INFO - (SARSA) Ep 28 Length=55 Summed Reward=-4.9, pitfall=0.0, wallbumps=2.0
2024-10-11 16:32:02,164 - INFO - (SARSA) Ep 29 Length=173 Summed Reward=-16.5, pitfall=0.0, wallbumps=1.0
2024-10-11 16:32:02,367 - INFO - (SARSA) Ep 30 Length=6 Summed Reward=-10.6, pitfall=1.0, wallbumps=0.0
2024-10-11 16:32:02,576 - INFO - (SARSA) Ep 31 Length=121 Summed Reward=-11.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:02,779 - INFO - (SARSA) Ep 32 Length=26 Summed Reward=-1.8, pitfall=0.0, wallbumps=1.0
2024-10-11 16:32:02,987 - INFO - (SARSA) Ep 33 Length=97 Summed Reward=-20.1, pitfall=1.0, wallbumps=2.0
2024-10-11 16:32:03,202 - INFO - (SARSA) Ep 34 Length=251 Summed Reward=-24.7, pitfall=0.0, wallbumps=3.0
2024-10-11 16:32:03,411 - INFO - (SARSA) Ep 35 Length=113 Summed Reward=-11.1, pitfall=0.0, wallbumps=4.0
2024-10-11 16:32:03,619 - INFO - (SARSA) Ep 36 Length=120 Summed Reward=-11.0, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:03,825 - INFO - (SARSA) Ep 37 Length=47 Summed Reward=-3.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:04,033 - INFO - (SARSA) Ep 38 Length=103 Summed Reward=-9.7, pitfall=0.0, wallbumps=2.0
2024-10-11 16:32:04,238 - INFO - (SARSA) Ep 39 Length=37 Summed Reward=-2.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:32:04,448 - INFO - (SARSA) Ep 40 Length=143 Summed Reward=-24.3, pitfall=1.0, wallbumps=0.0
2024-10-11 16:32:04,656 - INFO - (SARSA) Ep 41 Length=101 Summed Reward=-9.5, pitfall=0.0, wallbumps=2.0
2024-10-11 16:32:04,862 - INFO - (SARSA) Ep 42 Length=72 Summed Reward=-6.2, pitfall=0.0, wallbumps=0.0
